state,year,pop_est,observed
SE,2012,2110867,TRUE
SP,2012,41901219,TRUE
TO,2012,1417694,TRUE
AC,2013,776463,TRUE
AL,2013,3300935,TRUE
AM,2013,3807921,TRUE
AP,2013,734996,TRUE
BA,2013,15044137,TRUE
CE,2013,8778576,TRUE
DF,2013,2789761,TRUE
ES,2013,3839366,TRUE
GO,2013,6434048,TRUE
MA,2013,6794301,TRUE
MG,2013,20593356,TRUE
MS,2013,2587269,TRUE
MT,2013,3182113,TRUE
PA,2013,7999729,TRUE
PB,2013,3914421,TRUE
PE,2013,9208550,TRUE
PI,2013,3184166,TRUE
PR,2013,10997465,TRUE
RJ,2013,16369179,TRUE
RN,2013,3373959,TRUE
RO,2013,1728214,TRUE
RR,2013,488072,TRUE
RS,2013,11164043,TRUE
SC,2013,6634254,TRUE
SE,2013,2195662,TRUE
SP,2013,43663669,TRUE
TO,2013,1478164,TRUE
AC,2014,790101,TRUE
AL,2014,3321730,TRUE
AM,2014,3873743,TRUE
AP,2014,750912,TRUE
BA,2014,15281677,TRUE
CE,2014,8842791,TRUE
DF,2014,2852372,TRUE
ES,2014,3885049,TRUE
GO,2014,6523222,TRUE
MA,2014,6850884,TRUE
MG,2014,20734097,TRUE
MS,2014,2619657,TRUE
MT,2014,3224357,TRUE
PA,2014,8168704,TRUE
PB,2014,3943885,TRUE
PE,2014,9277727,TRUE
PI,2014,3194718,TRUE
PR,2014,11081692,TRUE
RJ,2014,16461173,TRUE
RN,2014,3408510,TRUE
RO,2014,1748531,TRUE
RR,2014,496936,TRUE
RS,2014,11207274,TRUE
SC,2014,6727148,TRUE
SE,2014,2219574,TRUE
SP,2014,44035304,TRUE
TO,2014,1496880,TRUE
AC,2015,803513,TRUE
AL,2015,3340932,TRUE
AM,2015,3938336,TRUE
AP,2015,766679,TRUE
BA,2015,16274323,TRUE
CE,2015,8904459,TRUE
DF,2015,2914830,TRUE
ES,2015,3929911,TRUE
GO,2015,6610681,TRUE
MA,2015,6904241,TRUE
MG,2015,20869101,TRUE
MS,2015,2651235,TRUE
MT,2015,3265486,TRUE
PA,2015,8262208,TRUE
